Cod_setor;tipo.x;bairro;distrito;municipio.x;CLAS_VUL.y;area.km²;prop_HAND;prop_mata;prop_imper;prop_pastagem;prop_cultivo;q_prop_mata;q_prop_imper;q_prop_HAND;Usos.Assoc;Susc;Susc.n;q_prop_cultivo;q_prop_pastagem;VulSoeAm;VulSoeAm.n
330390605000091;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0277510503131;0;0.187450025279;0.745362925242;0;0;2;1;1;3;4;1;NA;NA;2;1
330390605000092;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.16135482228;0;0.639613774089;0.237174780515;0;0;3;2;1;5;6;2;NA;NA;5;3
330390605000093;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.27770495658;0;0.60006781095;0.315869113201;0;0;3;2;1;5;6;2;NA;NA;3;1
330390605000094;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.304167583933;0;0.420126557073;0.453228031312;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000095;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0409234283687;0;0;1.00000000001;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000096;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0786811043033;0;0.0101523750298;0.989847625043;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000097;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0933447172691;0;0;1.00000000001;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000098;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.65737961600000006;0;0.481439152759;0.399761419887;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000099;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.143162203275;0;0.156704621246;0.843295464279;0;0;2;1;1;3;4;1;NA;NA;2;1
330390605000100;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0454940583076;0;0;0.999999999987;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000101;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.10376963328;0;0.0938360675359;0.906163938462;0;0;1;1;1;2;3;1;NA;NA;3;1
330390605000102;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.0654632621375;0;0;0.999999999998;0;0;1;1;1;2;3;1;NA;NA;4;2
330390605000103;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.115290905457;0;0.0835541767517;0.880923046804;0;0;1;1;1;2;3;1;NA;NA;4;2
330390605000104;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.46973637905;0;0.603656557901;0.303746753293;0;0;3;2;1;5;6;2;NA;NA;4;2
330390605000105;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.537646147485;0.208386308516;0.546377015893;0.344398064988;0;0;2;2;3;4;7;3;NA;NA;5;3
330390605000106;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.23631569756;0.438416944887;0.608265775944;0.275064926543;0;0;3;2;3;5;8;3;NA;NA;4;2
330390605000107;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.282006745667;0.140416752501;0.375983249976;0.339416589321;0;0;2;2;2;4;6;2;NA;NA;4;2
330390605000108;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.280669136126;0;0.637134237281;0;0;0;3;3;1;6;7;3;NA;NA;5;3
330390605000109;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.365313924437;0.337453626239;0.482526497389;0.362798933387;0;0;2;2;3;4;7;3;NA;NA;5;3
330390605000110;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.44134831803;0;0.529633555704;0.185090004661;0;0;2;2;1;4;5;1;NA;NA;3;1
330390605000111;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.246343335446;0.201306746062;0.411446498069;0.356237320391;0;0;2;2;3;4;7;3;NA;NA;5;3
330390605000112;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.247799891098;0.0151982129392;0.724569881494;0.209797941515;0;0;3;2;2;5;7;3;NA;NA;5;3
330390605000113;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.229762626398;0;0.741274409555;0.250034675141;0;0;3;2;1;5;6;2;NA;NA;5;3
330390605000114;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.552149736281;0;0.711977174141;0.0631624494748;0;0;3;3;1;6;7;3;NA;NA;4;2
330390605000115;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.794205483766;0;0.709143472761;0.0832941438779;0;0;3;3;1;6;7;3;NA;NA;5;3
330390605000116;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.0823331954697;0;0.547775533273;0.266042715957;0;0;2;2;1;4;5;1;NA;NA;3;1
330390605000117;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0560624805454;0;0.271317235479;0.719543316949;0;0;2;1;1;3;4;1;NA;NA;2;1
330390605000118;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.0993320223936;0.511181746708;0.142427587454;0.640839756843;0;0;2;2;3;4;7;3;NA;NA;6;3
330390605000119;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.739040823119;0.125131767037;0.573242351539;0.0577249239933;0;0;2;3;2;5;7;3;NA;NA;5;3
330390605000120;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.109804817963;0.106795283807;0.454984734693;0.476716921462;0;0;2;2;2;4;6;2;NA;NA;3;1
330390605000121;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.119749612499;0;0.501028080693;0.462721093638;0;0;2;2;1;4;5;1;NA;NA;3;1
330390605000122;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.666939855144;0;0.734782866521;0.115124192859;0;0;3;2;1;5;6;2;NA;NA;4;2
330390605000123;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.112094968112;0;0.0208213965152;0.859517068218;0;0;1;1;1;2;3;1;NA;NA;4;2
330390605000124;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.0790632764006;0;0;1;0;0;1;1;1;2;3;1;NA;NA;4;2
330390605000125;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0635884489437;0;0;0.999794808447;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000126;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0816190585146;0;0.0194429638789;0.575560360272;0;0;1;2;1;3;4;1;NA;NA;2;1
330390605000127;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.317766437896;0;0.405932535371;0.145893611842;0;0;2;2;1;4;5;1;NA;NA;2;1
